Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,PM10,PM25,NO2
01/20/2024,37,Ozone,Paradise-Clark,06-007-2003,AQS,3,37,,21,3
01/21/2024,37,Ozone,Paradise-Clark,06-007-2003,AQS,2,37,,17,2
01/22/2024,37,Ozone,Paradise-Clark,06-007-2003,AQS,3,37,,21,9
01/23/2024,27,PM2.5,Chico-East Avenue,06-007-0008,AQS,5,27,,27,15
01/24/2024,34,Ozone,Paradise-Clark,06-007-2003,AQS,5,34,,12,4
01/25/2024,32,Ozone,Chico-East Avenue,06-007-0008,AQS,3,32,,31,8
01/26/2024,45,PM2.5,Chico-East Avenue,06-007-0008,AQS,3,20,,45,8
01/27/2024,34,PM2.5,Chico-East Avenue,06-007-0008,AQS,5,19,,34,7
01/28/2024,37,PM2.5,Chico-East Avenue,06-007-0008,AQS,5,19,,37,11
01/29/2024,52,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,28,,52,14
01/30/2024,57,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,33,,57,9
01/31/2024,40,Ozone,Paradise-Clark,06-007-2003,AQS,2,40,,38,6
02/01/2024,39,Ozone,Chico-East Avenue,06-007-0008,AQS,2,39,1,20,7
02/02/2024,37,Ozone,Chico-East Avenue,06-007-0008,AQS,2,37,3,13,4
02/03/2024,36,Ozone,Chico-East Avenue,06-007-0008,AQS,3,36,4,18,13
02/04/2024,35,Ozone,Chico-East Avenue,06-007-0008,AQS,2,35,1,11,3
02/05/2024,34,Ozone,Chico-East Avenue,06-007-0008,AQS,2,34,4,9,4
02/06/2024,31,Ozone,Chico-East Avenue,06-007-0008,AQS,3,31,4,26,14
02/07/2024,32,Ozone,Chico-East Avenue,06-007-0008,AQS,3,32,3,31,10
02/08/2024,34,PM2.5,Paradise-Clark,06-007-2003,AQS,5,30,3,34,15
02/09/2024,52,PM2.5,Chico-East Avenue,06-007-0008,AQS,8,30,9,52,13
02/10/2024,52,PM2.5,Chico-East Avenue,06-007-0008,AQS,6,35,8,52,16
